ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
22,Querétaro,000,Total de la entidad Querétaro,0000,Total de la Entidad,,,,2368467,1211647,1156820,108229,53878,54351,2253414,1154345,1099069,2173750,1114853,1058897,1896139,978302,917837,1778180,920088,858092,1661118,862166,798952,119277,58731,60546,237998,117312,120686,277630,136911,140719,117959,58214,59745,117062,57922,59140,290118,145070,145048,671048,240222,130421,109801,95.48,583463,1618687,159493,187893,93370,94523,196969,97011,99958,198601,97754,100847,198141,98300,99841,209039,104692,104347,214139,108596,105543,194576,100283,94293,182743,94776,87967,165728,86410,79318,149832,77991,71841,125857,66848,59009,97903,51771,46132,80729,42960,37769,57833,31097,26736,40979,22180,18799,27417,14901,12516,17321,9743,7578,15943,9540,6403,1.93,1648076,843268,804808,686545,351721,334824,1958280,1010329,947951,195760,97609,98151,31383,15929,15454,594,443,151,30571,15407,15164,31086,590,30279,62207,    43436,    21544,    21892,96160,45248,42367,14329,21066,17919,18501,244793,71934,159045,14477,49883,11878,48737,29057,2004940,44680,21897,22783,9635,4678,4957,10129,4379,5750,84107,43439,40668,96819,49588,47231,5028,2120,2908,61734,39438,22296,75526,45028,30498,89520,48112,41408,209267,109880,99387,44035,18763,25272,450739,233475,217264,851047,432755,418292,10.48,10.34,10.64,1233080,522416,710664,658341,453798,204543,1210328,515633,694695,22752,6783,15969,486467,1873160,1121262,92561,4022,7753,587007,9255,87908,9582,691682,1016504,186594,2025357,131596,3952,197324,668487,219432,449055,2362208,710898,1651310,826353,668771,791542,633960,667596,668487,112408,45174,2362208,3.53,0.91,652622,12875,179452,486133,26464,85172,553949,661924,3686,651889,584452,13717,514035,114014,644157,8539,648556,17011,637478,1086,642999,260075,5510,611057,502427,373352,392533,50989,115638,478800,622948,320239,289497,606978,430045,382086,183742,106431,22702,44358,208004,9228,*
22,Querétaro,000,Total de la entidad Querétaro,9998,Localidades de una vivienda,,,,1878,627,1251,46,23,23,1832,604,1228,1795,584,1211,1632,507,1125,1556,473,1083,1510,456,1054,52,29,23,148,68,80,187,88,99,76,34,42,46,17,29,204,63,141,293,282,112,170,199.52,322,1360,196,83,43,40,109,45,64,130,66,64,89,34,55,161,46,115,188,46,142,197,52,145,155,33,122,142,42,100,134,40,94,115,29,86,93,39,54,86,34,52,63,21,42,49,20,29,26,9,17,25,12,13,33,16,17,*,1322,490,832,543,135,408,1201,553,648,76,31,45,35,7,28,0,0,0,22,7,15,34,0,21,26,       22,        9,       13,126,65,40,10,31,23,21,184,81,105,12,49,11,46,21,1560,19,10,9,8,5,3,9,3,6,21,9,12,58,19,39,9,3,6,160,72,88,182,78,104,157,54,103,283,78,205,55,10,45,491,118,373,377,128,249,7.82,7.61,7.91,1015,256,759,609,250,359,1010,255,755,5,1,4,907,971,398,30,3,2,479,10,28,49,626,861,145,1618,108,12,136,404,78,326,1362,279,1083,777,408,757,388,398,404,235,134,1362,3.37,0.93,352,46,165,233,29,81,288,309,89,296,124,102,316,131,317,27,318,79,254,37,307,157,36,270,197,127,233,52,111,265,276,92,44,310,106,116,30,22,75,83,273,48,*
22,Querétaro,000,Total de la entidad Querétaro,9999,Localidades de dos viviendas,,,,971,463,508,49,23,26,922,440,482,886,422,464,772,365,407,726,345,381,676,326,350,53,24,29,97,51,46,112,53,59,46,20,26,50,19,31,117,59,58,220,180,74,106,109.72,245,597,129,85,41,44,81,37,44,79,40,39,83,34,49,84,44,40,52,22,30,67,36,31,58,33,25,52,26,26,43,25,18,50,28,22,57,23,34,51,21,30,40,16,24,33,11,22,18,8,10,17,8,9,21,10,11,*,819,382,437,139,73,66,837,400,437,36,17,19,25,15,10,0,0,0,25,15,10,25,0,25,46,        6,        2,        4,67,41,19,11,18,10,11,133,55,86,5,32,7,33,12,767,19,9,10,5,2,3,10,3,7,32,14,18,19,10,9,3,0,3,91,38,53,115,48,67,101,40,61,129,60,69,24,8,16,178,98,80,157,81,76,7.23,7.61,6.88,502,186,316,268,179,89,497,186,311,5,0,5,251,720,172,28,3,0,496,9,12,7,273,427,72,890,33,0,48,284,63,221,971,199,772,675,284,672,281,280,284,273,118,971,3.42,1.04,231,49,125,155,31,65,184,200,80,194,70,86,200,70,195,26,209,71,152,30,199,144,41,147,112,65,133,20,62,145,168,57,18,189,53,63,19,14,77,88,209,52,*
22,Querétaro,001,Amealco de Bonfil,0000,Total del Municipio,,,,66841,34606,32235,4151,2064,2087,62673,32533,30140,59804,31102,28702,49874,26183,23691,45763,24175,21588,41727,22209,19518,4297,2115,2182,8502,4235,4267,9916,4880,5036,4111,2008,2103,4036,1966,2070,8429,4334,4095,17668,6767,3741,3026,93.15,21061,40861,4902,7020,3495,3525,7093,3527,3566,6948,3400,3548,6575,3254,3321,5890,3046,2844,5348,2917,2431,4492,2437,2055,4254,2241,2013,3839,2025,1814,3334,1748,1586,3026,1641,1385,2238,1125,1113,1865,1019,846,1552,800,752,1121,619,502,871,496,375,695,406,289,663,401,262,2.69,59980,30878,29102,6383,3486,2897,57963,30260,27703,1542,770,772,11712,6291,5421,452,341,111,11218,5929,5289,11602,450,11110,21072,      469,      231,      238,3309,1588,1411,582,802,658,777,7029,2473,4567,748,1809,656,1818,842,56134,1695,864,831,279,138,141,571,239,332,2133,1107,1026,1304,746,558,254,109,145,5099,3396,1703,5509,3527,1982,5788,2777,3011,9698,4706,4992,1469,541,928,13832,7365,6467,8100,4508,3592,7.24,7.19,7.3,33329,14011,19318,16364,12090,4274,32979,13953,19026,350,58,292,15269,51533,7693,1432,45,77,41345,744,527,64,17896,27458,4513,59664,3643,8,3464,17122,5680,11442,66793,19970,46823,24475,17126,24323,16974,17104,17122,4560,2789,66793,3.9,1.14,16463,630,6622,10472,1043,3404,12647,16601,493,16514,14916,580,13252,928,13895,722,13993,3101,13687,154,13653,9970,804,12300,7538,4457,6881,877,2985,9977,14637,2058,1740,12954,1926,3018,327,341,1708,3769,14205,1047,*
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,"100°08'39.102"" W","20°11'11.198"" N",2639,7953,4224,3729,364,186,178,7582,4034,3548,7361,3916,3445,6432,3445,2987,5996,3231,2765,5571,3025,2546,361,194,167,789,395,394,979,482,497,436,214,222,425,206,219,965,517,448,2218,996,558,438,88.28,1950,5291,705,585,304,281,652,336,316,713,349,364,709,353,356,681,370,311,652,359,293,563,292,271,537,292,245,500,272,228,502,280,222,475,266,209,381,189,192,291,178,113,251,129,122,188,92,96,107,63,44,76,50,26,83,46,37,2.07,6376,3364,3012,1507,826,681,7027,3752,3275,298,156,142,70,36,34,0,0,0,69,36,33,70,0,69,156,       97,       51,       46,287,136,129,39,54,55,59,813,261,540,64,199,53,159,107,6797,92,55,37,23,11,12,27,9,18,356,184,172,375,225,150,6,1,5,173,111,62,259,161,98,350,199,151,863,473,390,141,50,91,1580,787,793,2543,1417,1126,9.9,9.93,9.88,4103,1804,2299,2304,1631,673,4034,1783,2251,69,21,48,2191,5753,1743,538,13,10,3360,32,95,23,2650,3186,592,7412,246,1,286,2142,729,1413,7941,2332,5609,2824,2143,2772,2091,2136,2142,444,237,7941,3.71,0.88,2114,18,539,1594,39,223,1871,2120,13,2124,2115,9,2043,53,2125,2,2125,8,2115,4,2125,815,7,1931,1591,1143,1302,157,367,1377,1999,841,885,1882,934,1032,208,157,68,142,979,16,6
22,Querétaro,001,Amealco de Bonfil,0002,Agua Blanca,"100°06'31.468"" W","20°11'25.583"" N",2624,80,36,44,4,3,1,76,33,43,74,33,41,64,28,36,63,27,36,61,26,35,3,0,3,9,5,4,7,6,1,1,1,0,2,1,1,7,1,6,16,17,7,10,122.22,17,49,14,6,3,3,6,2,4,5,4,1,3,1,2,6,1,5,7,4,3,8,4,4,6,3,3,5,1,4,3,2,1,6,2,4,2,2,0,3,1,2,6,3,3,3,1,2,4,2,2,1,0,1,0,0,0,3.68,74,31,43,5,4,1,73,33,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,4,2,2,0,1,0,0,9,6,6,0,3,1,3,2,66,1,0,1,0,0,0,0,0,0,2,1,1,2,0,2,0,0,0,4,3,1,4,2,2,14,7,7,11,5,6,2,0,2,14,7,7,17,6,11,7.78,7.19,8.22,55,23,32,9,5,4,54,22,32,1,1,0,13,67,8,0,0,0,58,0,1,0,19,42,3,80,0,0,0,22,3,19,80,13,67,33,22,33,22,22,22,2,9,80,3.64,0.82,22,0,4,18,0,0,22,21,1,22,21,0,21,1,21,1,22,0,21,0,21,6,0,20,13,7,16,1,4,14,20,6,2,21,2,5,0,4,2,1,14,1,1
22,Querétaro,001,Amealco de Bonfil,0003,El Apartadero,"100°04'06.130"" W","20°09'18.508"" N",2542,227,127,100,11,6,5,216,121,95,207,117,90,190,104,86,180,100,80,165,89,76,10,5,5,16,12,4,24,15,9,10,4,6,15,11,4,32,18,14,64,45,24,21,78.74,47,148,32,20,10,10,10,8,2,17,9,8,21,15,6,26,14,12,14,6,8,11,6,5,4,4,0,21,15,6,10,4,6,22,11,11,6,1,5,13,7,6,8,4,4,6,5,1,4,3,1,9,3,6,5,2,3,2.42,209,116,93,18,11,7,197,112,85,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,29,11,18,3,5,6,9,58,16,37,3,10,5,21,5,139,4,2,2,1,1,0,0,0,0,12,9,3,7,6,1,0,0,0,11,5,6,17,7,10,22,14,8,26,12,14,5,0,5,54,28,26,46,32,14,8.13,8.57,7.58,115,50,65,75,54,21,115,50,65,0,0,0,89,136,44,1,0,0,93,0,0,0,73,102,15,205,2,0,20,67,25,42,227,78,149,75,67,75,67,67,67,0,8,227,3.39,1.04,65,2,23,44,3,13,51,64,3,65,65,2,59,7,61,2,57,10,55,1,57,31,4,61,39,12,34,3,10,30,61,8,1,46,1,5,1,2,5,20,59,4,1
22,Querétaro,001,Amealco de Bonfil,0004,El Aserrín (Ojo de Agua del Hornito),"100°13'09.019"" W","20°18'11.471"" N",2408,300,160,140,19,11,8,281,149,132,271,145,126,228,127,101,207,117,90,183,101,82,16,5,11,37,17,20,47,21,26,21,10,11,24,16,8,36,21,15,86,24,16,8,87.5,93,190,17,29,15,14,33,14,19,31,14,17,35,20,15,25,17,8,31,16,15,23,12,11,13,5,8,12,8,4,15,8,7,17,10,7,12,5,7,7,5,2,3,0,3,6,5,1,2,2,0,6,4,2,0,0,0,2.44,288,155,133,7,4,3,270,145,125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,        3,        1,        2,31,17,10,9,5,9,11,66,19,40,2,10,1,31,10,201,9,2,7,2,1,1,3,2,1,9,7,2,2,2,0,0,0,0,19,12,7,26,16,10,22,10,12,55,18,37,6,1,5,76,58,18,18,11,7,6.81,7.35,6.11,106,30,76,122,97,25,98,26,72,8,4,4,17,283,6,7,0,0,270,2,0,0,100,117,11,294,1,0,5,76,23,53,300,67,233,119,76,119,76,76,76,27,16,300,3.95,1.05,75,1,35,41,0,12,64,76,0,75,69,1,68,3,73,0,74,2,73,0,73,29,0,72,42,25,46,5,3,41,71,8,5,68,11,17,0,4,3,7,60,0,2
22,Querétaro,001,Amealco de Bonfil,0005,El Atorón,"100°01'58.585"" W","20°11'01.335"" N",2450,409,198,211,24,8,16,385,190,195,375,186,189,317,156,161,302,148,154,279,135,144,17,9,8,51,25,26,48,26,22,15,8,7,23,13,10,44,21,23,91,74,37,37,106.57,107,250,52,34,12,22,39,23,16,34,15,19,34,21,13,33,13,20,18,8,10,18,9,9,21,9,12,29,18,11,27,13,14,27,11,16,21,9,12,22,12,10,11,4,7,13,7,6,5,3,2,12,5,7,11,6,5,2.96,366,178,188,41,19,22,360,182,178,13,4,9,8,3,5,0,0,0,8,3,5,8,0,8,8,        0,        0,        0,45,20,21,5,16,6,10,98,29,63,2,25,8,35,7,265,5,1,4,2,1,1,3,2,1,13,6,7,2,1,1,1,1,0,24,11,13,33,18,15,37,21,16,77,32,45,5,2,3,112,56,56,27,13,14,6.77,6.67,6.88,259,113,146,58,43,15,259,113,146,0,0,0,68,341,27,7,0,1,300,12,2,0,107,181,29,304,73,0,32,129,31,98,409,89,320,225,129,225,129,129,129,49,47,409,3.17,0.91,123,6,47,82,5,30,94,124,5,125,123,4,106,14,112,3,114,15,110,2,111,67,5,108,76,35,55,14,25,79,113,6,2,99,3,6,0,0,10,30,123,7,2
22,Querétaro,001,Amealco de Bonfil,0006,El Batán,"100°11'17.053"" W","20°18'20.089"" N",2318,458,240,218,24,12,12,434,228,206,420,222,198,333,179,154,311,170,141,290,158,132,24,11,13,77,38,39,75,35,40,22,9,13,21,12,9,32,19,13,118,70,31,39,90.83,147,262,49,38,18,20,62,31,31,47,21,26,31,17,14,22,14,8,41,24,17,28,13,15,34,19,15,34,20,14,23,11,12,14,10,4,14,11,3,21,8,13,22,9,13,7,4,3,9,3,6,6,3,3,5,4,1,2.72,400,213,187,50,23,27,409,215,194,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,        3,        3,        0,28,15,11,4,10,5,8,68,18,43,4,14,2,6,5,361,8,4,4,0,0,0,0,0,0,7,6,1,3,2,1,1,0,1,22,11,11,30,15,15,56,30,26,64,33,31,9,3,6,122,74,48,24,12,12,6.73,6.84,6.6,196,74,122,136,104,32,195,74,121,1,0,1,73,385,57,25,0,0,308,0,0,0,112,173,48,418,7,0,33,137,50,87,458,152,306,203,137,201,135,137,137,53,13,458,3.34,0.92,133,4,61,76,4,27,106,131,6,132,119,5,107,8,118,3,121,16,117,2,119,53,3,118,93,42,81,17,36,86,126,11,3,114,12,33,1,2,6,22,120,4,2
